revenue,class,id,budget,starpower,certification,year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western,rating,ratingClass,month1,month2
-1.1186046873145241,2,tt0367027,-1.764730573052212,-3.626274371077986,-1.0,0.30434782608696764,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.5,0.6,0.49999999999999994,-0.8660254037844387
0.1685847959235439,5,tt0367479,0.6425858852029489,0.7269539829251898,-0.23076923076923062,0.13043478260868824,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6.3,0.6,-0.5000000000000004,0.8660254037844384
1.2343378437735453,9,tt0367594,1.2911227977227429,1.0216210250683035,0.7692307692307694,0.21739130434784215,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,6.7,0.7,-0.4999999999999998,-0.8660254037844388
1.4970499276051834,9,tt0367882,1.4395598620629257,1.2458380136134477,-0.23076923076923062,0.4782608695652186,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0.6,0.49999999999999994,-0.8660254037844387
0.9139122467828665,9,tt0368447,0.6425858852029489,0.7414445876222759,-0.23076923076923062,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,6.5,0.6,-0.4999999999999998,-0.8660254037844388
0.41206213060692826,6,tt0368578,0.19766605793097045,-0.7423921978124222,0.7692307692307694,0.21739130434784215,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.6,0.5,0.49999999999999994,0.8660254037844387
0.08285088304898805,5,tt0368709,0.6062812567569258,0.3974726906866657,-0.23076923076923062,0.21739130434784215,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.4,0.6,-0.8660254037844386,0.5
-2.879168579945006,1,tt0368774,-4.097695634471455,-0.03896030144436433,-0.6153846153846153,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.6,0.7,-1.0,-1.8369701987210297e-16
1.071548774751569,9,tt0368891,1.0041406413964884,0.7101330726994632,0.7692307692307694,0.13043478260868824,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,6.9,0.7,-0.5000000000000004,0.8660254037844384
-0.7534264699850274,3,tt0369226,-0.1349954905790919,-0.1962513709725759,-0.6153846153846153,0.21739130434784215,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,2.3,0.2,0.49999999999999994,0.8660254037844387
0.8282614621268278,9,tt0369339,0.69923891947867,0.7857586567110694,-0.6153846153846153,0.13043478260868824,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7.6,0.8,-0.8660254037844384,-0.5000000000000004
0.7891989534401174,9,tt0369441,1.0041406413964884,0.10212537162742219,-0.23076923076923062,0.21739130434784215,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0.6,-2.4492935982947064e-16,1.0
0.6503818948343334,8,tt0369735,0.4067912172622829,-0.05997296681721205,-0.23076923076923062,0.21739130434784215,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5.5,0.6,0.49999999999999994,-0.8660254037844387
-0.18566633805942828,4,tt0370032,0.15198665631002733,-0.4682261284810047,-0.23076923076923062,0.30434782608696764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.4,0.4,1.0,6.123233995736766e-17
0.11210005484816578,5,tt0371246,0.8462029642576451,-0.46936653027101277,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0.6,-2.4492935982947064e-16,1.0
0.44582737814145357,7,tt0371724,0.5135414077850017,1.1022172078282912,0.7692307692307694,0.21739130434784215,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6.8,0.7,0.49999999999999994,0.8660254037844387
0.07144413510865255,5,tt0372588,0.19766605793097045,-1.335853827252999,-0.6153846153846153,0.13043478260868824,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.2,0.7,-0.8660254037844386,0.5
1.1101935644041088,9,tt0372784,1.2911227977227429,1.7600666411517243,-0.23076923076923062,0.21739130434784215,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8.3,0.8,1.2246467991473532e-16,-1.0
0.4277545146855668,7,tt0373074,-0.1349954905790919,-1.8305461218816266,-0.6153846153846153,0.13043478260868824,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7.8,0.8,0.8660254037844386,0.5000000000000001
-0.5382877495360628,3,tt0373469,-0.33861256078647756,0.2305867796396654,-0.6153846153846153,0.21739130434784215,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7.6,0.8,-1.0,-1.8369701987210297e-16
1.5888066131728715,9,tt0373889,1.2911227977227429,2.662898736919705,-0.23076923076923062,0.39130434782609314,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,7.5,0.8,1.2246467991473532e-16,-1.0
0.6772520375088065,8,tt0373926,0.8462029642576451,0.4297294328475833,-0.23076923076923062,0.21739130434784215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6.4,0.6,0.8660254037844388,-0.4999999999999998
0.10855533320568464,5,tt0374102,-3.699362609170199,-3.074260959066374,-0.6153846153846153,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5.7,0.6,-0.8660254037844384,-0.5000000000000004
-1.472097047001768,2,tt0374563,-0.25002395973628816,-0.8180201860882929,-0.6153846153846153,0.39130434782609314,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4.7,0.5,1.0,6.123233995736766e-17
0.019995247670549374,5,tt0374900,-2.903865317771137,-1.1658803052665199,-0.3846153846153846,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0.7,1.2246467991473532e-16,-1.0
0.4702830497895911,7,tt0375063,-0.2929331606400837,-0.12263297579318796,-0.6153846153846153,0.13043478260868824,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.5,0.8,-0.8660254037844386,0.5
-0.6237472752523078,3,tt0375173,0.6425858852029489,-0.2803049971690934,-0.6153846153846153,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0.6,-0.8660254037844386,0.5
0.4146687943097577,6,tt0375679,-0.9304963834966501,0.8974434553184694,-0.6153846153846153,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.8,0.8,0.49999999999999994,0.8660254037844387
-0.6875905423525268,3,tt0375912,-0.9304963834966501,0.7718991833164268,0.5384615384615385,0.13043478260868824,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,7.4,0.7,-1.0,-1.8369701987210297e-16
0.3895330110092247,6,tt0376105,0.15198665631002733,0.48397453161946563,0.7692307692307694,0.21739130434784215,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0.5,0.49999999999999994,0.8660254037844387
-0.3201140848993071,4,tt0376136,0.4389688071312838,0.4361236821710458,-0.6153846153846153,0.7391304347826235,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.2,0.6,-0.8660254037844386,0.5
0.4980730998537233,7,tt0376541,0.07741405670488,0.11396066415606118,-0.6153846153846153,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7.3,0.7,-2.4492935982947064e-16,1.0
1.2169375602196362,9,tt0376994,1.5292728291945357,1.3539379364360586,0.4615384615384617,0.30434782608696764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6.7,0.7,0.49999999999999994,-0.8660254037844387
-2.237577107237939,1,tt0377091,-2.745927992754581,-1.2460256478550906,-0.6153846153846153,0.13043478260868824,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.3,0.7,0.49999999999999994,0.8660254037844387
0.5557848656903902,7,tt0377092,-0.25002395973628816,0.14618823264666747,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,0.7,0.8660254037844388,-0.4999999999999998
0.3975429197376514,6,tt0377471,0.5547832714580674,0.7122612723332775,-0.23076923076923062,0.21739130434784215,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0.6,1.0,6.123233995736766e-17
0.0006293395946180732,5,tt0378109,0.5135414077850017,-0.520392230204643,-0.23076923076923062,0.21739130434784215,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5.8,0.6,-1.0,-1.8369701987210297e-16
0.05245934649449026,5,tt0379725,-0.8780438734149209,-0.03334636249935789,-0.6153846153846153,0.21739130434784215,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7.4,0.7,-1.0,-1.8369701987210297e-16
-0.06904609894037975,4,tt0379786,0.337684165825895,0.3387641615401992,-0.23076923076923062,0.21739130434784215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7.9,0.8,-0.8660254037844384,-0.5000000000000004
-0.03746896858456034,5,tt0379865,0.6185908727513488,0.2883088511116078,-0.23076923076923062,0.4782608695652186,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6.0,0.6,1.0,6.123233995736766e-17
0.4870540001740606,7,tt0381707,0.3004237170794023,-0.44086844688057236,-0.23076923076923062,0.13043478260868824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,0.6,1.2246467991473532e-16,-1.0
0.2374071914923756,6,tt0381849,0.5810005308419461,0.6483954612237615,-0.6153846153846153,0.39130434782609314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.7,0.8,-1.0,-1.8369701987210297e-16
0.5293051173510634,7,tt0382077,0.022942181251361497,-0.03839670929750577,-0.6153846153846153,0.21739130434784215,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5.9,0.6,0.49999999999999994,0.8660254037844387
-0.28909535271499903,4,tt0382628,0.15198665631002733,-0.34885566326975204,-0.23076923076923062,0.21739130434784215,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,5.6,0.6,1.2246467991473532e-16,-1.0
0.2864628210043588,6,tt0382992,1.2165501960204543,-0.012611351607504692,-0.23076923076923062,0.21739130434784215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.5,-0.4999999999999998,-0.8660254037844388
0.10999494395047084,5,tt0383010,0.15198665631002733,-0.13728189950941969,0.7692307692307694,0.826086956521749,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0.5,0.8660254037844388,-0.4999999999999998
-1.5179422137688252,2,tt0383222,0.022942181251361497,-0.03755474009725537,-0.6153846153846153,0.21739130434784215,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2.9,0.3,-0.8660254037844386,0.5
1.6551321750993058,9,tt0383574,1.4947398785469033,1.7382787791287522,-0.23076923076923062,0.30434782608696764,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.3,0.7,1.2246467991473532e-16,-1.0
-0.7735118746998958,3,tt0384286,-2.2553294598492717,-1.2688765865249207,-1.0,0.21739130434784215,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,5.9,0.6,-1.0,-1.8369701987210297e-16
-1.2847554427615397,2,tt0384369,-1.1907664522880383,-2.83755071844635,-0.46153846153846145,0.13043478260868824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5,0.8,-0.4999999999999998,-0.8660254037844388
-2.4996110586523974,1,tt0384533,-0.7835323570928601,0.3439995410166525,-0.6153846153846153,0.13043478260868824,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.3,0.5,-0.4999999999999998,-0.8660254037844388
0.4104045155081107,6,tt0384537,0.5135414077850017,-0.4838627991430915,-0.6153846153846153,0.30434782608696764,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6.6,0.7,0.8660254037844388,-0.4999999999999998
